,POI,lat,long
152,parking,51.551536,-0.29832
153,parking,51.55266,-0.312685
154,parking,51.5536149,-0.2971938
155,parking,51.5508418,-0.3149239
156,parking,51.5540418,-0.2955984
157,parking,51.5525166,-0.2939969
158,parking,51.554131,-0.294509
159,parking,51.5515019,-0.2941635
160,parking,51.5505927,-0.2997985
161,"atm,",51.5557844,-0.3170158
162,"atm,",51.5527226,-0.2964675
163,"atm,",51.5554928,-0.3158467
164,"atm,",51.5625842,-0.3049451
165,park,51.5573557,-0.2968104
166,park,51.55337,-0.3100949
167,park,51.5568456,-0.318113
168,park,51.5471403,-0.3066724
169,market,51.5519156,-0.2994689
170,market,51.5507898,-0.2982636
171,market,51.55176300000001,-0.2978933
172,market,51.5625306,-0.3052697
173,market,51.5489475,-0.2989135
174,market,51.5534832,-0.2925913
175,market,51.5528608,-0.2953987
176,market,51.5535153,-0.3146824
177,library,51.5521574,-0.3113782
178,library,51.5495166,-0.297503
179,library,51.5521341,-0.3111562
180,restaurant,51.571425,-0.3081628
181,restaurant,51.5665123,-0.3044505
182,restaurant,51.5624756,-0.305921
183,restaurant,51.5712744,-0.3081124
184,restaurant,51.5676821,-0.3055123
185,restaurant,51.5715329,-0.294948
186,restaurant,51.5727081,-0.2943857
187,restaurant,51.5644413,-0.29989
188,restaurant,51.5626033,-0.3051132
189,restaurant,51.56738379999999,-0.3050034
190,restaurant,51.5696929,-0.2952646
191,restaurant,51.5624979,-0.3057393
192,restaurant,51.562304,-0.3065951
193,restaurant,51.569595,-0.2943983
194,restaurant,51.5712009,-0.2945834
195,restaurant,51.5623174,-0.3065394
196,restaurant,51.5625154,-0.2999988
197,restaurant,51.56226789999999,-0.2924071
198,restaurant,51.573346,-0.2942564
199,groceries,51.5707284,-0.2951302
200,groceries,51.56415680000001,-0.3011862
201,groceries,51.5664576,-0.3051294
202,church,51.56866160000001,-0.3059331
203,church,51.5645073,-0.3019765
204,church,51.5739763,-0.293039
205,church,51.5693505,-0.2922006
206,church,51.5709242,-0.2940946
207,bus,51.570621,-0.307371
208,bus,51.569012,-0.301717
209,bus,51.569954,-0.295477
210,bus,51.570934,-0.294892
211,bus,51.572365,-0.294781
212,bus,51.571896,-0.294654
213,bus,51.56283999999999,-0.312234
214,bus,51.575405,-0.294291
215,bus,51.562843,-0.301081
216,bus,51.562061,-0.318668
217,bus,51.569496,-0.294744
218,bus,51.572956,-0.292738
219,bus,51.576107,-0.294915
220,bus,51.562008,-0.318209
221,bus,51.5626973,-0.3007453
222,bus,51.575283,-0.309406
223,bus,51.565506,-0.293782
224,bus,51.57270399999999,-0.2921130000000001
225,school,51.5709684,-0.3001144
226,school,51.56926,-0.3112171
227,school,51.56763489999999,-0.3046805
228,school,51.5704231,-0.3049519
229,school,51.5693703,-0.3124902
230,school,51.5624311,-0.2968167
231,school,51.5685634,-0.3058688
232,school,51.57441739999999,-0.2945128
233,school,51.5682651,-0.2929156
234,school,51.5694467,-0.2925903
235,hotel,51.5611231,-0.3192259
236,university,51.5662104,-0.2931366
237,bar,51.5705865,-0.3077596
238,bar,51.572892,-0.2943667
239,cafe,51.5664062,-0.3011792
240,cafe,51.571862,-0.294909
241,cafe,51.5720971,-0.2948749
242,cafe,51.5710366,-0.2949499
243,cafe,51.5645234,-0.3017757
244,cafe,51.56249,-0.3058031
245,bank,51.5706819,-0.2949859
246,post,51.5708638,-0.3078621
247,post,51.5724811,-0.2948859
248,post,51.57092,-0.30778
249,post,51.5725068,-0.2948099
250,shopping mall,51.57075,-0.2949925
251,gym,51.5683459,-0.3041636
252,train,51.570181,-0.3083981
253,train,51.57197,-0.29508
254,parking,51.5735131,-0.2954296
255,parking,51.5732272,-0.3144356
256,parking,51.5712086,-0.3008653
257,parking,51.5746635,-0.3191747
258,parking,51.575087,-0.3175215
259,"atm,",51.5709337,-0.307834
260,"atm,",51.57247479999999,-0.2948858
261,"atm,",51.5627073,-0.301243
262,park,51.5736485,-0.3124122
263,park,51.5710078,-0.3027973
264,park,51.5648054,-0.318165
265,park,51.56506700000001,-0.318061
266,park,51.57433,-0.2959587
267,park,51.5762261,-0.3011199
268,market,51.5709312,-0.3078818
269,market,51.5727812,-0.2947764
270,market,51.5711508,-0.2944315
271,market,51.5634921,-0.300488
272,market,51.5722315,-0.2945223
273,library,51.5664571,-0.2931082
274,library,51.5667448,-0.2998247
275,restaurant,51.58315899999999,-0.314702
276,restaurant,51.58735619999999,-0.3034406
277,restaurant,51.5830948,-0.3155613
278,restaurant,51.5870757,-0.3025677
279,restaurant,51.5840116,-0.3139148
280,restaurant,51.5872811,-0.300162
281,restaurant,51.58716099999999,-0.3043925
282,restaurant,51.5809321,-0.3187014
283,restaurant,51.5873054,-0.3038152
284,restaurant,51.5836412,-0.3145451
285,restaurant,51.5830816,-0.3156864
286,restaurant,51.5825457,-0.3168444
287,restaurant,51.5872082,-0.3048408
288,restaurant,51.5833863,-0.3142677
289,restaurant,51.5815828,-0.3176117
290,restaurant,51.5861315,-0.3066
291,restaurant,51.5811197,-0.318388
292,restaurant,51.5816537,-0.3174073
293,restaurant,51.5866473,-0.2983767
294,groceries,51.5866748,-0.2986085
295,groceries,51.5815219,-0.3152159
296,groceries,51.5809617,-0.3184748
297,groceries,51.5840883,-0.3136678
298,groceries,51.5872331,-0.2996339
299,groceries,51.5866734,-0.2986487
300,groceries,51.58167479999999,-0.3172686
301,groceries,51.5818986,-0.3176231
302,church,51.5857392,-0.3078812
303,church,51.5860393,-0.310854
304,church,51.57993579999999,-0.3160872000000001
305,church,51.58590580000001,-0.3079478
306,church,51.586029,-0.3080007
307,church,51.5884728,-0.2994416
308,church,51.5884649,-0.2995833
309,church,51.5860642,-0.2931725
310,church,51.589204,-0.2937966
311,bus,51.585541,-0.309848
312,bus,51.58299599999999,-0.315615
313,bus,51.5871806,-0.302858
314,bus,51.585022,-0.310863
315,bus,51.584621,-0.305941
316,bus,51.587185,-0.307261
317,bus,51.58623499999999,-0.307469
318,bus,51.581802,-0.306494
319,bus,51.58334,-0.314505
320,bus,51.581364,-0.318418
321,bus,51.586887,-0.298668
322,bus,51.579079,-0.318315
323,bus,51.584152,-0.313335
324,bus,51.57489,-0.30958
325,bus,51.58114029999999,-0.3184471
326,bus,51.58646,-0.294022
327,school,51.57818469999999,-0.3030685
328,school,51.5833077,-0.2976742
329,school,51.5819092,-0.3103542
330,school,51.58681499999999,-0.3002629
331,school,51.5799718,-0.2942622
332,school,51.5868705,-0.2937103
333,school,51.5839625,-0.2932968
334,school,51.5837191,-0.3050261
335,school,51.5792531,-0.312046
336,school,51.5887816,-0.3073311
337,school,51.5879606,-0.3013793
338,school,51.5855965,-0.3036807
339,hotel,51.5827713,-0.3171654
340,hotel,51.5779022,-0.3100187
341,university,51.5779303,-0.3185638
342,bar,51.5872658,-0.300077
343,bar,51.58343480000001,-0.3141809
344,cafe,51.5872949,-0.3002391
345,cafe,51.5815431,-0.3176818
346,cafe,51.58139,-0.3151369
347,cafe,51.5780003,-0.3187306
348,bank,51.5833488,-0.3143349
349,bank,51.5836469,-0.3137907
350,bank,51.58122640000001,-0.3146173
351,post,51.58300089999999,-0.3158317
352,gym,51.5874612,-0.3007165
353,train,51.581847,-0.3171383
354,train,51.5785081,-0.3178373
355,parking,51.5803892,-0.3142093
356,parking,51.58823539999999,-0.3157233
357,"atm,",51.5829852,-0.3157629
358,"atm,",51.583243,-0.3145614
359,"atm,",51.58733909999999,-0.3035256
360,"atm,",51.5872655,-0.3000754
361,park,51.5842153,-0.3016409
362,park,51.5871018,-0.3013796
363,park,51.5768218,-0.3127457
364,park,51.5874224,-0.3190676
365,park,51.5762158,-0.2994154
366,park,51.5777462,-0.3178228
367,market,51.586862,-0.3023657
368,soccer field,51.5844495,-0.3052857
369,restaurant,51.5955846,-0.2964335
370,restaurant,51.59618589999999,-0.3129676
371,restaurant,51.5955404,-0.2958184
372,restaurant,51.5955112,-0.2953163
373,restaurant,51.5949226,-0.2947707
374,restaurant,51.59569560000001,-0.3128143
375,restaurant,51.59555659999999,-0.2960905
376,restaurant,51.5955216,-0.2966388
377,restaurant,51.5960459,-0.3129029
378,restaurant,51.5956007,-0.2967847
379,restaurant,51.5958173,-0.2955172
380,restaurant,51.5947755,-0.2948606
381,restaurant,51.5965846,-0.2950389
382,restaurant,51.588971,-0.2937739
383,restaurant,51.600347,-0.2987451
384,groceries,51.5953948,-0.3127011
385,groceries,51.59586840000001,-0.2959985
386,groceries,51.5953362,-0.2947809
387,groceries,51.59580279999999,-0.2948813
388,groceries,51.5959413,-0.3129774
389,groceries,51.59558,-0.2963795
390,groceries,51.595529,-0.2956034
391,church,51.5938168,-0.3055505
392,church,51.5961078,-0.3146498
393,church,51.596112,-0.3146492
394,church,51.6005551,-0.3070512
395,church,51.60034959999999,-0.3125155
396,church,51.5951033,-0.3144709
397,bus,51.592598,-0.310553
398,bus,51.594994,-0.301397
399,bus,51.59547,-0.303184
400,bus,51.596684,-0.313044
401,bus,51.59943,-0.31479
402,bus,51.593128,-0.310389
