Sunlight,Year-Month
4.421777627637288,2012-04-01
6.124871083287841,2012-05-01
4.314484910880895,2012-06-01
5.353787449500559,2012-07-01
5.337502464864012,2012-08-01
5.470426291744419,2012-09-01
3.034475473478755,2012-10-01
2.313859682989083,2012-11-01
1.7671297151551255,2012-12-01
1.5651626802214906,2013-01-01
2.4332977481983025,2013-02-01
2.4528242663112505,2013-03-01
5.955072730459167,2013-04-01
6.304336112303834,2013-05-01
6.147089499286161,2013-06-01
8.474045437284536,2013-07-01
6.2696247314309925,2013-08-01
4.301856090721791,2013-09-01
2.881029100181101,2013-10-01
2.502419254870782,2013-11-01
1.7741073208788465,2013-12-01
1.7838531429934008,2014-01-01
3.3485601044193,2014-02-01
4.691432015355514,2014-03-01
5.2530361757105934,2014-04-01
5.838929756084764,2014-05-01
7.263359162017503,2014-06-01
7.468831814574452,2014-07-01
6.340108307386391,2014-08-01
4.597112097600211,2014-09-01
3.1789914159537305,2014-10-01
2.002511736776269,2014-11-01
2.26453720050821,2014-12-01
2.2353788018361853,2015-01-01
3.1470907655177607,2015-02-01
4.432794232263259,2015-03-01
7.082956322488444,2015-04-01
5.866200143495663,2015-05-01
7.50889670525838,2015-06-01
6.059147205629184,2015-07-01
5.231114717642078,2015-08-01
5.700258681845385,2015-09-01
2.9951720500007997,2015-10-01
1.3248903709035003,2015-11-01
1.1309983583377272,2015-12-01
1.698181949602025,2016-01-01
2.9579640907675335,2016-02-01
3.966732563229984,2016-03-01
5.741150544120267,2016-04-01
6.460799387442088,2016-05-01
4.364186311933977,2016-06-01
6.323817544720387,2016-07-01
6.878525943304616,2016-08-01
4.417996780777221,2016-09-01
3.6053136144598135,2016-10-01
2.6645341013425305,2016-11-01
1.6474526967611873,2016-12-01
2.069591261591606,2017-01-01
1.995871619982484,2017-02-01
3.834734112062962,2017-03-01
6.03575326495199,2017-04-01
6.28868996132651,2017-05-01
6.35618022719409,2017-06-01
5.879392411859823,2017-07-01
5.868932552443598,2017-08-01
3.799846643385128,2017-09-01
2.661435738112013,2017-10-01
2.637034180543106,2017-11-01
1.8426724669282835,2017-12-01
1.916567402079238,2018-01-01
3.74196294862724,2018-02-01
2.7520464716393613,2018-03-01
4.27255116000696,2018-04-01
7.7912558231481555,2018-05-01
8.110348360622366,2018-06-01
8.708454094373954,2018-07-01
5.583242931067216,2018-08-01
5.264335773613306,2018-09-01
4.423874431324714,2018-10-01
2.530373814271488,2018-11-01
1.3563754594612125,2018-12-01
1.7408933926068575,2019-01-01
4.363079110648725,2019-02-01
4.164105664021369,2019-03-01
5.779824462137767,2019-04-01
6.574293251429969,2019-05-01
5.710219308401118,2019-06-01
6.829994972884735,2019-07-01
6.713302829171887,2019-08-01
5.423063065585194,2019-09-01
2.654353650798043,2019-10-01
1.6728875041595523,2019-11-01
1.8967307395367552,2019-12-01
1.7981682899592895,2020-01-01
2.710191185074153,2020-02-01
5.217878971660099,2020-03-01
7.809895364865863,2020-04-01
9.682834300331374,2020-05-01
6.178656144376757,2020-06-01
5.628861242237062,2020-07-01
5.2049636992545345,2020-08-01
5.412225198273904,2020-09-01
2.2143419128604664,2020-10-01
2.094818571133304,2020-11-01
1.5573274814482665,2020-12-01
1.4198465466501025,2021-01-01
2.6081815575309295,2021-02-01
3.750799855716493,2021-03-01
7.6483134109467645,2021-04-01
5.5585490016477594,2021-05-01
6.3303263346484595,2021-06-01
6.113399732275757,2021-07-01
4.405334689305654,2021-08-01
4.591812126931544,2021-09-01
3.046775692745807,2021-10-01
2.36925677754885,2021-11-01
0.9967683841487611,2021-12-01
2.528076420415626,2022-01-01
3.0723319373471005,2022-02-01
5.684977104193652,2022-03-01
6.303121413790331,2022-04-01
5.617544819554057,2022-05-01
7.693445573365321,2022-06-01
7.237369899756671,2022-07-01
7.79750997436725,2022-08-01
4.299027581902552,2022-09-01
4.119382690387235,2022-10-01
1.9357238960129333,2022-11-01
1.894135626824336,2022-12-01
2.3938472510576516,2023-01-01
3.1978944108272453,2023-02-01
2.459768418204531,2023-03-01
